Estágio1,Saldoinicial em 01/01/2022,Transferência para Estágio2,Transferência para Estágio3,Transferência do Estágio2,Transferência do Estágio3,Contratos finalizados,Constituição/ (Reversão),Saldofinalem 31/03/2022,Estágio2,Transferência para Estágio1,Transferência do Estágio1,Transferência doEstágio3,Saldo finalem 31/03/2022,Estágio3,para Estágio 1,para Estágio2,do Estágio1,do Estágio2,Baixas para prejuízo,Consolidado,Saldo inicial em 01/01/2022,Baixas para prejuizo,Constituição / (Reversão)
Cartão consignado,2.824,(20),,471.0,429.0,,(625),3.001,,,,,,,,,,,,,,,
Cartão múltiplo,202.481,(3.164),851) (3.,1.345,10.0,(147.537),180.172,229.456,,,,,,,,,,,,,,,
Cheque especial,795.0,(44),(9),43.0,,(560),485,710.0,,,,,,,,,,,,,,,
Conta corrente,264.0,(6),(105),2.0,17.0,(138),189,223.0,,,,,,,,,,,,,,,
Crédito pessoal,53.461,(3.975),(1.604),476.0,100.0,(2.947),32.652,78.163,,,,,,,,,,,,,,,
Crédito empresas,12.586,(87),(77),133.0,355.0,(3.066),1.552,11.396,,,,,,,,,,,,,,,
Crédito imobiliário,49.569,(4.024),(1.284),3.579,2.227,(2.430),4.577,52.214,,,,,,,,,,,,,,,
Crédito rural,25.677,(56),,,,(3.930),5.289,26.98,,,,,,,,,,,,,,,
,347.657,(71.376),(6.930),5.989,3.138,,224.291,402.143,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,448.0,,,,,,,,Cartão consignado,(471),20.0,,47.0,,,,,,,,,,
,29.101,,(4.881),,,(22.169),45.654,,cartão múltiplo,,3.164,2.0,49.526,,,,,,,,,,
,420.0,,(37),,,(253),330.0,,Cheque especial,(43),44.0,2.0,463.0,,,,,,,,,,
,148.0,,(132),,,(9),257.0,,Conta corrente,(2),,71.0,279.0,,,,,,,,,,
,10.078,,(4.127),,,(745),6.226,,Crédito pessoal,(476),3.975,94.0,15.025,,,,,,,,,,
,324.0,,(127),,,,3.0,,Crédito empresas,(133),87.0,3.0,157.0,,,,,,,,,,
,13.361,,(2.484),,,(403),3.427,,Crédito imobiliário,(3.579),4.024,1.223,15.569,,,,,,,,,,
,,,,,,,177.0,,Crédito rural,,56.0,,233.0,,,,,,,,,,
,53.882,,(71.802),,,(23.582),56.081,,,(5.989),11.376,1.335,81.301,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,3.482,,,,,(46),337.0,3.128,,,,,,Cartão consignado,(429),,,14.0,(230),,,,
,186.157,,,,,(151.155),182.032,224.682,,,,,,Cartão múltiplo,(10),,3.851,4.881,(1.072),,,,
,8.532,,,,,(108),327.0,8.795,,,,,,Cheque especial,,,,37.0,,,,,
,29.053,,,,,(108),2.633,8.205,,,,,,Conta corrente,(17),,105.0,132.0,(23.582),,,,
,31.998,,,,,(2.599),14.5,48.873,,,,,,Crédito pessoal,(100),(94),1.604,4.127,(563),,,,
,3.11,,,,,(549),1.616,3.998,,,,,,Crédito empresas,(355),,77.0,127.0,(25),,,,
,17.062,,,,,(3.484),6.652,20.548,,,,,,Crédito imobiliário,,(1.223),1.284,2.484,,,,,
,,,,,,,,,,,,,,Crédito rural,,,,,,,,,
,279.393,,,,,(158.049),208.097,318.228,,,,,,,(3.138),(1.335),6.93,11.802,(25.472),,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(67),,,,,,,6.176,,,,,,,Cartão consignado,6.754,(230),(281)
,,,,,,(320.861),,,,,,,503.665,,,,,,,Cartão múltiplo,417.74,(1.072),407.858
,,,,,,(921),,,,,,,9.968,,,,,,,Cheque especial,9.747,,1.142
,,,,,,(255),,,,,,,8.707,,,,,,,Conta corrente,29.466,(23.582),3.079
,,,,,,(6.291),,,,,,,142.06,,,,,,,Crédito pessoal,95.536,(563),53.378
,,,,,,(3.615),,,,,,,15.551,,,,,,,Crédito empresas,16.02,(25),3.171
,,,,,,(6.317),,,,,,,88.331,,,,,,,Crédito imobiliário,79.992,,14.656
,,,,,,(3.930),,,,,,,27.213,,,,,,,Crédito rural,25.677,,5.466
,,,,,,(342.257),,,,,,,801.672,,,,,,,,680.933,(25.472),488.469
