Estágio1,Saldoinicial em 01/01/2021,Transferência para Estágio2,Transferência para Estágio 3,Transferência do Estágio2,Transferência doEstágio3,Contratos finalizados,Baixas para prejuízo,Constituição/ (Reversão),Saldo finalem 31/03/2021,Estágio 2,Transferência para Estágio 1,Transferência para Estágio3,Transferência,Constituição / (Reversão),Saldofinalem 31/03/2021,Estágio 3,Saldo inicial em 01/01/2021,para Estágio],para Estágio2,Transferência do Estágio1,do Estágio2,Consolidado,Saldoem 01/01/2021,finalizados,31/03/2021
Cartão Consignado,2.912,(744),(263),114.0,190.0,(2.935),,8.596,7.87,,,,,,,,,,,,,,,,
Cartão Multiplo,103.694,(2.955),(4.101),496.0,173.0,(8.921),(97),6.28,94.569,,,,,,,,,,,,,,,,
Cheque Especial,645.0,,,,,(165),,7.775,8.255,,,,,,,,,,,,,,,,
Conta Corrente,335.0,(2),(4),,,(329),,227.0,227.0,,,,,,,,,,,,,,,,
Crédito Pessoal,16.305,,,,,,,2.0,16.307,,,,,,,,,,,,,,,,
Crédito Empresas,5.678,,,,,(158),,3.499,9.018,,,,,,,,,,,,,,,,
Crédito Imobiliário,34.898,(15.852),(1.049),1.024,312.0,,,4.832,22.404,,,,,,,,,,,,,,,,
Crédito Rural,5.675,,,,,(15),,957.0,6.617,,,,,,,,,,,,,,,,
Total,170.142,,(5.417),1.634,675.0,(14.284),,32.168,165.267,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,37.0,,,,35.0,(441),,,,Cartão Consignado,(714),(1.383),744.0,2.312,1.19,,,,,,,,,,
,4.909,,,,144.0,(1.800),,,,Cartão Multiplo,(496),(2.465),2.955,71.427,14.674,,,,,,,,,,
,,,,,,,,,,Cheque Especial,,,,,,,,,,,,,,,
,,,,,,,,,,Conta Corrente,,(5),2.0,12.421,12.43,,,,,,,,,,
,4.39,,,,,,,,,Crédito Pessoal,,,,,4.39,,,,,,,,,,
,4.0,,,,,,,,,Crédito Empresas,,,,,10.0,,,,,,,,,,
,10.848,,,,3.364,(421),,,,Crédito Imobiliário,(1.024),(1.804),15.852,4.716,31.531,,,,,,,,,,
,,,,,,,,,,Crédito Rural,,,,,,,,,,,,,,,
,20.195,,,,3.549,(2.666,,,,Total,(1.634),(5.658),19.554,30.885,64.225,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,(396),(4.413),6.161,5.716,,,,,,,Cartão Consignado,2.943,(190),(35),263.0,1.383,,,,
,,,,,,(3.685),(16.134),22.261,64.079,,,,,,,Cartão Multiplo,55.388,(173),44),4.101,2.465,,,,
,,,,,,,,,,,,,,,,Cheque Especial,,,,,,,,,
,,,,,,(5),(37),2.485,2.559,,,,,,,Conta Corrente,713.0,,(6),,,,,,
,,,,,,,(3),56.0,18.257,,,,,,,Crédito Pessoal,18.204,,,,,,,,
,,,,,,,(143),20.0,719.0,,,,,,,Crédito Empresas,241.0,,,,,,,,
,,,,,,(2.955),(1.736),4.953,14.567,,,,,,,Crédito Imobiliário,15.128,(312),(3.364),1.049,1.804,,,,
,,,,,,,,,,,,,,,,Crédito Rural,,,,,,,,,
,,,,,,(7.041),(22.466),35.936,105.297,,,,,,,Total,92.017,(675),(3.549),5.417,5.658,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(4.413),17.069,,,,,,,,,,,,,,Cartão consignado,5.892,(3.772),14.776
,,,,,,,(16.231),39.968,,,,,,,,,,,,,,Cartão múltiplo,163.991,(14.406),173.322
,,,,,,,,7.775,,,,,,,,,,,,,,Cheque especial,645.0,(165),8.255
,,,,,,,(37),15.133,,,,,,,,,,,,,,Conta corrente,455.0,(335),15.216
,,,,,,,,58.0,,,,,,,,,,,,,,Crédito pessoal,38.899,,38.954
,,,,,,,(143),3.528,,,,,,,,,,,,,,Crédito empresas,5.923,(161),9.147
,,,,,,,(1.736),14.501,,,,,,,,,,,,,,Crédito imobiliário,60.874,(5.137),68.502
,,,,,,,,957.0,,,,,,,,,,,,,,Crédito rural,5.675,(15),6.617
,,,,,,,,98.989,,,,,,,,,,,,,,,282.354,(23.991),334.789
