Estágio 1,Saldo inicial em 01/01/2021,Transferência para Estágio 2,Transferência para Estágio 3,Transferência do Estágio 2,Transferência do Estágio 3,Contratos finalizados,Baixas para prejuízo,Constituição / (Reversão),Saldo final em 31/03/2021,Estágio 2,Transferência para Estágio ],Transferência do Estágio 1,Estágio 3,Transferência para Estágio l,Consolidado
Cartão Consignado,64.113,(37.089),(5.558),593.0,354.0,(317.889),,795.635,500.159,,,,,,
Cartão Multiplo,1.773.871,(28.524),(31.413),1.513,346.0,(83.831),(1.708),598.220,2.228.474,,,,,,
Cheque Especial,20.192,,,,,(5.179),,5.654,20.668,,,,,,
Conta Corrente,10.457,(48),(116),5.0,,(10.285),,1.466,1.486,,,,,,
Crédito Pessoal,1.478.905,,,,,,,75,1.478.980,,,,,,
Crédito Empresas,1.579.384,(214),(74),,,(861.614),,853.899,1.571.381,,,,,,
Crédito Imobiliário,3.186.943,(933.442),(21.529),19.264,2.046,(166.098),,673.027,2.760.211,,,,,,
Crédito Rural,177.637,,,,,(479),,39.204,216.362,,,,,,
Total,8.291.502,999.317),(58.690),21.375,2.754,1.445.375),708),2.967.180,8.777.721,,,,,,
,,,,,,,,,,,,,,,
,458.0,,(12.674),,60.0,(3.536),,(2.627),18.177,Cartão Consignado,(593),37.089,,,
,20.003,,(10.732),,287.0,(7.238),,18.419,47.750,Cartão Multiplo,(1.513),28.524,,,
,,,,,,,,,,Cheque Especial,,,,,
,202.0,,(171),,194.0,(26),,17.567,17.809,Conta Corrente,,48.0,,,
,32.056,,,,,,,,32.056,Crédito Pessoal,,,,,
,1.298,,(61),,,(1.235),,,213,Crédito Empresas,,214.0,,,
,185.081,,(30.678),,22.089,{7.538),,(15.319),1.067.813,Crédito Imobiliário,(19.264),,,,
,,,,,,,,,,Crédito Rural,,,,,
,239.098,,54.316),,22.63,(19.573),,18.037,1.783.818,Total,(21.375),999.317,,,
,,,,,,,,,,,,,,,
,3.161,(60),,12.674,,(935),(8.976),(1.229),9.839,,,5.558,Cartão Consignado,(354),
,710.768,(287),,10.732,,(7.372),(32.257),15.722,128.373,,,31.413,Cartão Multiplo,(346),
,,,,,,,,,,,,,Cheque Especial,,
,3.573,(194),,,,(143),(1.160),1.783,4.139,,,716.0,Conta Corrente,,
,40.436,,,,,,(95),(2),40.339,,,,Crédito Pessoal,,
,2.187,,,61.0,,,(1.280),67,1.109,,,74.0,Crédito Empresas,,
,99.332,(22.089),,30.678,,(19.407),(11.400),975,97.572,,,21.529,Crédito Imobiliário,(2.046),
,,,,,,,,,,,,,Crédito Rural,,
,259.457,(22.630),,54.316,,(27.857),(55.168),17.316,281.37,,,58.69,Total,(2.754),
,,,,,,,,,,,,,,,
,67.732,,,,,(322.360),(8.976),791.779,528.175,,,,,,Cartão Consignado
,1.904.642,,,,,(98.441),(33.965),632.361,2.404.597,,,,,,Cartão Multiplo
,20.192,,,,,(5.179),,5.654,20.667,,,,,,Cheque Especial
,14.232,,,,,(10.454),(1.160),20.816,23.434,,,,,,Conta Corrente
,1.551.397,,,,,,(95),73,1.551.375,,,,,,Crédito Pessoal
,1.582.869,,,,,(862.849),(1.280),853.963,1.572.703,,,,,,Crédito Empresas
,3.471.356,,,,,(193.043),(11.400),658.683,3.925.596,,,,,,Crédito Imobiliário
,177.637,,,,,(479),,39.204,216.362,,,,,,Crédito Rural
,8.790.057,,,,,(1.492.805),(56.876),3.002.534,10.242.909,,,,,,Total
