Estágio 1,Saldo inicial em 01/01/2023,Transferência para Estágio 2,Transferência para Estágio 3,Transferência do Estágio 2,Transferência do Estágio 3,Constituiçãol (Reversão),Saldo final em 31/03/2023,Saldo final em 31/12/2022,Estágio 2,Transferência para Estágio,Transferência do Estágio 1,Estágio 3,Baixas para prejuízo,Consolidado
Cartão de crédito,296.909,(72.642),(52),9.63,24.0,110.626,344.495,296.909,,,,,,
Empresas,12.099,(131),,100.0,,1.392,13.46,12.099,,,,,,
Imobiliário,66.484,(13.712),,11.707,6.539,(1.144),69.874,66.484,,,,,,
Pessoal,98.516,(5.502),,1.133,829.0,(6.300),88.676,98.516,,,,,,
Rural,11.606,,,,,(850),10.749,11.606,,,,,,
,485.614,(91.994),(52),22.57,7.392,103.724,527.254,402.143,,,,,,
,,,,,,,,,,,,,,
,174.466,,(182.439),,,134.535,189.574,174.466,Cartão de crédito,(9.630),72.642,,,
,899.0,,(18),,27.0,(148),791.0,899.0,Empresas,(100),131.0,,,
,16.939,,(6.603),,4.523,1.484,18.348,16.939,Imobiliário,(11.707),13.712,,,
,90.088,,(32.980),,223.0,31.960,93.66,90.088,Pessoal,(1.133),5.502,,,
,,,,,,,,,Rural,,,,,
,282.392,,(222.040),,4.773,167.824,302.373,282.392,,(22.570),91.994,,,
,,,,,,,,,,,,,,
,402.826,,,182.439,,49.059,440.519,402.826,,(24),52.0,Cartão de crédito,(193.833),
,328.0,(27),,18.0,,706.0,287.0,328.0,,,,Empresas,(738),
,19.127,(4.523),,6.603,,8.219,17.849,19.127,,(6.539),,Imobiliário,(5.038),
,127.149,(223),,32.98,,35.649,173.425,127.149,,(829),,Pessoal,(21.301),
,976.0,,,,,578.0,,976.0,,,,Rural,(1.554),
,550.406,(4.773),,222.04,,94.211,632.08,550.406,,7 1.392),,,(222.464),
,,,,,,,,,,,,,,
,874.201,,,,,294.220,974.588,874.201,,,,,(193.833),Cartão de crédito
,13.326,,,,,1.950,14.538,13.326,,,,,(738),Empresas
,102.550,,,,,,106.071,102.550,,,,,(5.038),Imobiliário
,315.753,,,,,61.309,355.761,315.753,,,,,(21.301),Pessoal
,12.582,,,,,(279),10.749,12.582,,,,,(1.554),Rural
,1.318.412,,,,,365.759,1.461.707,1.318.412,,,,,(222.464),
