Estágio 1,Saldo inicial em 01/01/2023,Transferência para Estágio 2,Transferência para Estágio 3,Transferência do Estágio 2,Transferência do Estágio 3,Contratos finalizados,Originação / (Recebimento),Saldo final em 31/03/2023,Saldo final em 31/12/2022
Cartão de crédito,5.893.995,(268.505),(172),20.855,37.0,(740.895),1.292.745,6.198.060,5.893.995
Empresas,3.378.982,(19.518),,15.423,,(2.447.238),2.168.825,3.096.474,3.378.982
Imobiliário,5.843.066,(315.313),,192.461,43.796,(166.532),578.616,6.176.094,5.843.066
Pessoal,4.941.344,(83.048),,8.691,1.401,(115.792),727.492,5.480.088,4.941.344
Rural,718.115,(1.833),,,,(56.056),90.708,750.934,718.115
Total,20.775.502,(688.217),(172),237.43,45.234,3.526.513),4.858.386,21.701.650,20.775.502

Estágio 2,Saldo inicial em 01/01/2023,Transferência para Estágio,Transferência para Estágio 3,Transferência do Estágio,Transferência do Estágio 3,Contratos finalizados,Originação / (Recebimento),Saldo final em 31/03/2023,Saldo final em 31/12/2022
Cartão de crédito,335.422,(20.855),(295.280),268.505,,(316.867),404.143,,335.422
Empresas,10.476,(15.423),(806),19.518,249.0,(1.401),(926),,10.476
Imobiliário,280.633,(192.461),105.708),315.313,30.294,(9.202),2.283,321.152,280.633
Pessoal,290.51,(8.691),109.854),83.048,499.0,(48.910),100.517,307.119,290.51
Rural,,,,1.833,,(1.712),(121),,
Total,917.041,(237.430),(511.648),688.217,31.042,(378.092),505.896,1.015.021,917.041

Estágio 3,Saldo inicial em 01/01/2024,Transferência para estágio 1,Transferência para estágio 2,Transferência do estágio 1,Transferência do estágio 2,Baixas para prejuízo,Constituiçãol (reversão),Saldo final em 31/03/2024,Saldo final em 31/12/2023
Cartão de crédito,708.986,,,,344.3,(256.871),9.606,806.021,708.986
Imobiliário,44.092,,(7.766),,31.584,(5.285),(9.258),53.367,44.092
Pessoal,208.043,(5),(4.562),278.0,72.945,(56.590),(12.680),207.429,208.043
Empresas,6.231,,(29),,2.658,(5.186),2.302,5.976,6.231
Rural,1.628,,,,1.661,,113,3.402,1.628
Total,968.98,,(12.357),278.0,453.148,(323.932),(9.917),1.076.195,968.98

Consolidado,Saldo inicial em 01/01/2023,Contratos finalizados,Baixas para prejuízo,Originação / (Recebimento),Saldo final em 31/03/2023,Saldo final em 31/12/2022
Cartão de crédito,6.870.564,(1.116.250),(193.833),1.712.551,7.273.197,6.870.564
Empresas,3.392.500,(2.448.695),(738),2.167.773,3.110.840,3.392.500
Imobiliário,6.251.812,(211.234),(5.038),581.262,6.616.802,6.251.812
Pessoal,5.463.783,(185.278),(21.301),824.062,6.081.266,5.463.783
Rural,719.669,(57.768),(1.554),90.587,750.934,719.669
Total,22.698.328,(4.019.225),(222.464),5.376.235,23.833.039,22.698.328
