Estágio 1,Saldo inicial em 01/01/2023,Transferência para Estágio 2,Transferência para Estágio 3,Transferência do Estágio 2,Transferência do Estágio 3,Contratos finalizados,Originação / (Recebimento),Saldo final em 31/03/2023,Saldo final em 31/12/2022,Estágio 2,Transferência para Estágio,Transferência do Estágio,Estágio 3,Baixas para prejuízo,Originação (Recebimento),Consolidado
Cartão de crédito,5.893.995,(268.505),(172),20.855,37.0,(740.895),1.292.745,6.198.060,5.893.995,,,,,,,
Empresas,3.378.982,(19.518),,15.423,,(2.447.238),2.168.825,3.096.474,3.378.982,,,,,,,
Imobiliário,5.843.066,(315.313),,192.461,43.796,(166.532),578.616,6.176.094,5.843.066,,,,,,,
Pessoal,4.941.344,(83.048),,8.691,1.401,(115.792),727.492,5.480.088,4.941.344,,,,,,,
Rural,718.115,(1.833),,,,(56.056),90.708,750.934,718.115,,,,,,,
Total,20.775.502,(688.217),(172),237.43,45.234,3.526.513),4.858.386,21.701.650,20.775.502,,,,,,,
,,,,,,,,,,,,,,,,
,335.422,,(295.280),,,(316.867),404.143,,335.422,Cartão de crédito,(20.855),268.505,,,,
,10.476,,(806),,249.0,(1.401),(926),,10.476,Empresas,(15.423),19.518,,,,
,280.633,,105.708),,30.294,(9.202),2.283,321.152,280.633,Imobiliário,(192.461),315.313,,,,
,290.51,,109.854),,499.0,(48.910),100.517,307.119,290.51,Pessoal,(8.691),83.048,,,,
,,,,,,(1.712),(121),,,Rural,,1.833,,,,
,917.041,,(511.648),,31.042,(378.092),505.896,1.015.021,917.041,Total,(237.430),688.217,,,,
,,,,,,,,,,,,,,,,
,641.147,,,295.28,,488) (58.,,700.074,641.147,,(37),172.0,Cartão de crédito,(193.833),15.663,
,3.042,(249),,806.0,,(56),,2.679,3.042,,,,Empresas,(738),(126),
,128.113,(30.294),,105.708,,(35.500),,119.556,128.113,,(43.796),,Imobiliário,(5.038),363,
,231.929,(499),,109.854,,(20.576),,294.059,231.929,,1 401),,Pessoal,(21.301),(3.947),
,1.554,,,,,,,,1.554,,,,Rural,(1.554),,
,1.005.785,(31.042),,511.648,,(114.620),,1.116.368,1.005.785,,(45.234),172.0,Total,(222.464),11.953,
,,,,,,,,,,,,,,,,
,6.870.564,,,,,(1.116.250),1.712.551,7.273.197,6.870.564,,,,,(193.833),,Cartão de crédito
,3.392.500,,,,,(2.448.695),2.167.773,3.110.840,3.392.500,,,,,(738),,Empresas
,6.251.812,,,,,(211.234),581.262,6.616.802,6.251.812,,,,,(5.038),,Imobiliário
,5.463.783,,,,,(185.278),824.062,6.081.266,5.463.783,,,,,(21.301),,Pessoal
,719.669,,,,,(57.768),90.587,750.934,719.669,,,,,(1.554),,Rural
,22.698.328,,,,,(4.019.225),5.376.235,23.833.039,22.698.328,,,,,(222.464),,Total
