Estágio 1,Saldo inicial em 01/01/2024,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Constituiçãol (reversão),Saldo final em 31/03/2024,Saldo final em 31/12/2023,Estágio 2,Transferência para estágio,Transferência do estágio,Transferência do estágio 3,Estágio 3,Transferência para estágio 1,Transferência do estágio 1,Baixas para prejuízo,Consolidado,Constituiçãol (reversão) (a)
Cartão de crédito,408.412,(173.492),,5.19,138.201,378.311,408.412,,,,,,,,,,
Imobiliário,49.93,(36.492),,6.422,35.001,54.861,49.93,,,,,,,,,,
Pessoal,106.635,(55.716),(278),3.295,43.537,97.478,106.635,,,,,,,,,,
Empresas,12.859,(2.910),,40.0,969.0,10.958,12.859,,,,,,,,,,
Rural,11.122,,,,941.0,12.063,11.122,,,,,,,,,,
Total,588.958,(268.610),(278),14.947,218.649,553.671,588.958,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,225.771,,(344.300),,210.514,260.287,225.771,Cartão de crédito,(5.190),173.492,,,,,,,
,39.71,,(31.584),,672.0,46.634,39.71,Imobiliário,(6.422),36.492,7.766,,,,,,
,89.687,,(72.945),,46.111,119.836,89.687,Pessoal,(3.295),55.716,4.562,,,,,,
,789.0,,(2.658),,1.032,2.062,789.0,Empresas,(40),,29.0,,,,,,
,947.0,,(1.661),,714.0,,947.0,Rural,,,,,,,,,
,356.904,,(453.148),,259.043,428.819,356.904,Total,(14.947),268.61,12.357,,,,,,
,,,,,,,,,,,,,,,,,
,708.986,,,344.3,9.606,806.021,708.986,,,,,Cartão de crédito,,,(256.871),,
,44.092,(7.766),,31.584,(9.258),53.367,44.092,,,,,Imobiliário,,,(5.285),,
,208.043,(4.562),,72.945,(12.680),207.429,208.043,,,,,Pessoal,(5),278.0,(56.590),,
,6.231,(29),,2.658,2.302,5.976,6.231,,,,,Empresas,,,(5.186),,
,1.628,,,1.661,113,3.402,1.628,,,,,Rural,,,,,
,968.98,(12.357),,453.148,(9.917),1.076.195,968.98,,,,,Total,,278.0,(323.932),,
,,,,,,,,,,,,,,,,,
,1.343.169,,,,,1.444.619,1.343.169,,,,,,,,(256.871),Cartão de crédito,358.321
,133.732,,,,,154.862,133.732,,,,,,,,(5.285),Imobiliário,26.415
,404.365,,,,,424.743,404.365,,,,,,,,(56.590),Pessoal,76.968
,19.879,,,,,18.996,19.879,,,,,,,,(5.186),Empresas,4.303
,13.697,,,,,15.465,13.697,,,,,,,,,Rural,1.768
,1.914.842,,,,,2.058.685,1.914.842,,,,,,,,(323.932),Total,467.775
