Estágio 1,Saldo inicial em 01/01/2025,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Baixas para prejuízo,Constituiçãol (reversão),Saldo final em 31/03/2025,Saldo final em 31/12/2024
Cartão de crédito,427.310,(126.073),(749),6.081,,,146.900,453.469,427.310
Imobiliário,61.494,(41.672),(1.265),6.558,,,32.316,57.435,61.494
Pessoal,81.172,(42.750),(10.043),10.279,8.103,,43.529,90.290,81.172
Empresas,10.640,(5.591),(492),79,,,10.937,15.573,10.640
Rural,6.993,(335),(119),,,,486,7.025,6.993
Total,587.609,(216- .421),(12.668),22.997,8.107,,234.168,623.792,587.609
Estágio 2,Saldo inicial em 01/01/2025,Transferência para estágio,Transferência para estágio 3,Transferência do estágio,Transferência do estágio 3,Baixas para prejuízo,Constituiçãol (reversão),Saldo final em 31/03/2025,Saldo final em 31/12/2024
Cartão de crédito,172.247,(6.081),(299.127),126.073,440,,276.018,269.570,172.247
Imobiliário,49.709,(6.558),(41.483),41.672,190,,(3.813),39.717,49.709
Pessoal,56.509,(10.279),(62.151),42.750,10.567,,8.911,46.307,56.509
Empresas,4.670,(79),(11.765),5.591,,,7.014,5.431,4.670
Rural,,,(645),335,,,310,,
Total,283.135,(22.997),(415.171),216.421,11.197,,288.440,361.025,283.135
Estágio 3,Saldo inicial em 01/01/2025,Transferência para estágio,Transferência para estágio 2,Transferência do estágio,Transferência do estágio 2,Baixas para prejuízo,Constituiçãol (reversão),Saldo final em 31/03/2025,Saldo final em 31/12/2024
Cartão de crédito,970.797,,(440),749,299.127,(332.243),(14.659),923.331,970.797
Imobiliário,66.626,,(190),1.265,41.483,,(27.987),81.193,66.626
Pessoal,441.441,(8.103),(10.567),10.043,62.151,(94.605),52.775,453.135,441.441
Empresas,17.276,,,492,11.765,(5.955),5.475,29.053,17.276
Rural,,,,119,645,,,772,
Total,1.496.139,(8.107),(11.197),12.668,415.171,(432.803),15.613,1.487.484,1.496.139
Consolidado,Consolidado,Consolidado,Consolidado,Consolidado,Saldo inicial em 01/01/2025,Baixas para prejuízo,Constituiçãol (reversão),Saldo final em 31/03/2025,Saldo final em 31/12/2024
Cartão de crédito,Cartão de crédito,Cartão de crédito,Cartão de crédito,Cartão de crédito,1.570.354,(332.243),408.259,1.646.370,1.570.354
Imobiliário,Imobiliário,Imobiliário,Imobiliário,Imobiliário,177.829,,516,178.345,177.829
Pessoal,Pessoal,Pessoal,Pessoal,Pessoal,579.122,(94.605),105.215,589.732,579.122
Empresas,Empresas,Empresas,Empresas,Empresas,32.586,(5.955),23.426,50.057,32.586
Rural,Rural,Rural,Rural,Rural,6.992,,805,7.797,6.992
Total,Total,Total,Total,Total,2.366.883,(432.803),538.221,2.472.301,2.366.883
