Estágio 1,Saldo inicial em 01/01/2022,Transferência para Estágio 2,Transferência para Estágio 3,Transferência do Estágio 2,Transferência do Estágio 3,Contratos finalizados,Baixas para prejuízo,Constituição / (Reversão),Saldo final em 30/06/2022
Imobiliário,49.569,(3.744),(1.622),4.989,1.270,(4.572),,9.513,55.404
Pessoal,57.344,(2.401),(3.861),1.195,718,(7.226),,75.370,121.139
Empresas,12.586,(152),(181),767,585,(3.612),,952,10.345
Cartão de crédito,202.481,(1.523),(5.397),990,20,(154.062),,254.719,296.628
Rural,25.677,,(56),,,(9.425),,6.784,22.980
,347.657,7.821),(71.716),7.341,2.592,(178.897),,346.738,506.495
Estágio 2,Saldo inicial em 01/01/2022,Transferência para Estágio ],Transferência Para Estágio 3,Transferência doEstágio ],Transferência do Estágio 3,Contratos finalizados,Baixas para prejuízo,Constituição 7 (Reversão),Saldo final em 30/06/2022
Imobiliário,13.361,(4.989),(2o38),3.744,2.258,(1.065),,3.586,14.857
Pessoal,71.095,(1.195),(4.237),2.401,196,(2.420),,12.968,18.807
Empresas,324,(167),(65),152,,,,2,254
Cartão de crédito,29.101,(990),(4.150),1.523,3,(23.679),,50.489,52.298
Rural,,,,,,,,,
,53.882,(7.341),(10.490),7.821,2.464,(27.764),,67.045,86.216
Estágio 3,Saldo inicial em 01/01/2022,Transferência para_Estágiol,Transferência Para_Estágio2,Transferência doEstágiol,Transferência do Estágio2,Contratos finalizados,Baixas para prejuízo,Constituição7 (Reversão),Saldo final em 30/06/2022
Imobiliário,17.062,(1.270),2.258),1.622,2.038,,(223),8.173,19.490
Pessoal,73.065,(718),(196),3.861,4.237,(10.364),(37.669),35.496,67.713
Empresas,3.110,(585),,181,65,(588),(324),617,2.467
Cartão de crédito,186.157,(20),,5.397,4.150,(156.262),(71.745),263.314,290.988
Rural,,,,56,,,,1.032,1.088
,279.393,(2.592),(2.464),71.716,10.490,(172.868),(49.962),308.632,381.746
Consolidado,,,,,Saldo inicial em 01/01/2022,Contratos finalizados,Baixas para prejuízo,Constituição7 (Reversão),Saldo final em 30/06/2022
Imobiliário,,,,,79.992,,(223),21.272,89.750
Pessoal,,,,,141.504,(20.010),(37.669),123.833,207.658
Empresas Cartão de crédito,,,,,16.020,(4.200),(324),1.571,13.066
Rural,,,,,417.740,(334.002),(11.745),567.923,639.915
,,,,,25.677,(9.425),,7.816,24.068
Total,,,,,680.933,(78928,(49.962),722.415,974.457
