Estágio 1,Saldo inicial em 01/01/2023,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Constituiçãol (reversão),Saldo final em 30/06/2023,Saldo final em 31/12/2022,Estágio 2,Transferência para estágio,Transferência do estágio,Estágio 3,Transferência para estágio 1,Transferência do estágio 1,Baixas para prejuízo,Consolidado
Cartão de crédito,296.909,(154.591),(52),16.402,53.0,194.237,352.958,296.909,,,,,,,,
Empresas,12.099,(739),,125.0,,(74),11.411,12.099,,,,,,,,
Imobiliário,66.484,(36.513),(50),20.03,7.554,(17.970),39.535,66.484,,,,,,,,
Pessoal,98.516,(23.663),,1.572,863.0,(2.927),74.361,98.516,,,,,,,,
Rural,11.606,,,,,(629),10.97,11.606,,,,,,,,
,485.614,(215.513),(102),38.129,8.47,172.637,489.235,485.614,,,,,,,,
,,,,,,,,,,,,,,,,
,174.466,,(422.761),,,304.987,194.881,174.466,Cartão de crédito,(16.402),154.591,,,,,
,899.0,,(1.137),,27.0,696.0,1.099,899.0,Empresas,(125),739.0,,,,,
,16.939,,(27.818),,8.501,17.282,31.387,16.939,Imobiliário,(20.030),36.513,,,,,
,90.088,,(83.636),,1.037,87.615,117.195,90.088,Pessoal,(1.572),23.663,,,,,
,,,,,,,,,Rural,,,,,,,
,282.392,,(535.352),,9.565,410.573,344.562,282.392,,(38.129),215.513,,,,,
,,,,,,,,,,,,,,,,
,402.826,,,422.761,,126.51,533.36,402.826,,,,Cartão de crédito,(53),52.0,(418.736),
,328.0,(27),,1.137,,2.338,1.834,328.0,,,,Empresas,,,(1.942),
,19.127,(8.501),,27.818,,23.216,46.3,19.127,,,,Imobiliário,(7.554),50.0,(7.856),
,127.149,(1.037),,83.636,,43.967,202.11,127.149,,,,Pessoal,(863),,(50.742),
,976.0,,,,,578.0,,976.0,,,,Rural,,,(1.554),
,550.406,(9.565),,535.352,,196.609,783.604,550.406,,,,,(8.470),102.0,(480.830),
,,,,,,,,,,,,,,,,
,874.201,,,,,625.734,1.081.199,874.201,,,,,,,(418.736),Cartão de crédito
,13.326,,,,,2.960,14.344,13.326,,,,,,,(1.942),Empresas
,,,,,,22.528,117.222,102.550,,,,,,,(7.856),Imobiliário
,315.753,,,,,128.655,393.666,315.753,,,,,,,(50.742),Pessoal
,12.582,,,,,(58),10.970,12.582,,,,,,,(1.554),Rural
,1.318.412,,,,,779.819,1.617.401,1.318.412,,,,,,,(480.830),
