Estágio 1,Saldo inicial em 01/01/2024,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Contratos finalizados,Baixas para prejuízo,Originação (recebimento),Saldo final em 30/06/2024,Saldo final em 31/12/2023
Cartão de crédito,8.073.708,(638.600),,45.946,,(1.926.546),,3.385.797,8.940.305,8.073.708
Imobiliário,7.931.469,(797.770),,464.421,,(564.583),,1.787.756,8.821.293,7.931.469
Pessoal,6.533.589,(369.402),(322),141.787,,(1.034.386),,1.585.361,6.856.691,6.533.589
Empresas,3.829.413,(53.917),,11.976,,(4.971.723),,5.503.869,4.319.618,3.829.413
Rural,738.126,,,,,(103.665),,203.790,838.251,738.126
Total,27.106.305,(1.859.689),(322),664.130,,(8.600.903),,12.466.573,29.776.158,27.106.305
Estágio 2,Saldo inicial em 01/01/2024,Transferência para estágio,Transferência para estágio 3,Transferência do estágio,Transferência do estágio 3,Contratos finalizados,Baixas para prejuízo,Originação (recebimento),Saldo final em 30/06/2024,Saldo final em 31/12/2023
Cartão de crédito,405.996,(45.946),(1.059.199),638.600,,(750.420),,1.193.116,382.147,405.996
Imobiliário,515.047,(464.421),(316.807),797.770,199.709,(42.417),,(6.877),682.004,515.047
Pessoal,317.462,(141.787),(210.130),369.402,41.781,(294.579),,355.213,437.362,317.462
Empresas,10.200,(11.976),(31.706),53.917,1.421,(4.103),,(987),16.766,10.200
Rural,3.441,,(3.463),,,,,22,,3.441
Total,1.252.146,(664.130),(1.621.305),1.859.689,242.911,(1.091.519),,1.540.487,1.518.279,1.252.146
Estágio 3,Saldo inicial em 01/01/2024,Transferência para estágio,Transferência para estágio 2,Transferência do estágio,Transferência do estágio 2,Contratos finalizados,Baixas para prejuízo,Originação / (recebimento),Saldo final em 30/6/2024,Saldo final em 31/12/2023
Cartão de crédito,981.573,,,,1.059.199,(283.568),(574.111),2.537,1.185.630,981.573
Imobiliário,137.052,,(199.709),,316.807,(45.347),(7.787),(545),200.471,137.052
Pessoal,287.693,(64),(41.781),322,210.130,(89.916),(133.587),28.607,261.404,287.693
Empresas,16.141,,(1.421),,31.706,(1.887),(8.849),(12.934),22.756,16.141
Rural,3.391,,,,3.463,,,,6.854,3.391
Total,1.425.850,(64),(242.911),322,1.621.305,(420.718),(724.334),17.665,1.677.115,1.425.850
Consolidado,,,,,Saldo inicial em 01/01/2024,Contratos,Baixas para prejuízo,Originação / (recebimento),Saldo final em 30/06/2024,Saldo final em
Cartão de crédito,,,,,,finalizados,(574.111),4.581.450,,31/12/2023
Imobiliário,,,,,9.461.277 8.583.568,(2.960.534) (652.347),(7.787),1.780.334,10.508.082 9.703.768,9.461.277 8.583.568
Pessoal,,,,,7.138.744,(1.418.881),(133.587),1.969.181,7.555.457,7.138.744
Empresas,,,,,3.855.754,(4.977.713),(8.849),5.489.948,4.359.140,3.855.754
Rural,,,,,744.958,(103.665),,203.812,845.105,744.958
,,,,,,,,14.024.725,32.971.552,29.784.301
Total,,,,,29.784.301,(10.113.140),(724.334),,,
