Estágio 1,Saldo inicial em 01/01/2024,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Constituiçãol (reversão),Saldo final em 30/06/2024,Saldo final em 31/12/2023,Estágio 2,Transferência para estágio,Transferência do estágio,Transferência do estágio 3,Estágio 3,Transferência para estágio 1,Transferência do estágio 1,Baixas para prejuízo,Consolidado
Cartão de crédito,408.412,(329.578),,10.246,318.318,407.398,408.412,,,,,,,,,
Imobiliário,49.93,(74.845),,13.683,65.966,54.734,49.93,,,,,,,,,
Pessoal,106.635,(84.193),(278),4.413,56.568,83.15,106.635,,,,,,,,,
Empresas,12.859,(5.979),,81.0,8.554,15.515,12.859,,,,,,,,,
Rural,11.122,,,,1.499,12.621,11.122,,,,,,,,,
Total,588.958,(494.595),(278),28.423,450.905,573.418,588.958,,,,,,,,,
,,,,,,,,,,,,,,,,
,225.771,,(727.359),,407.325,225.069,225.771,Cartão de crédito,(10.246),329.578,,,,,,
,39.71,,(66.162),,489.0,50.934,39.71,Imobiliário,(13.683),74.845,15.735,,,,,
,89.687,,(147.864),,103.969,131.435,89.687,Pessoal,(4.413),84.193,5.863,,,,,
,789.0,,(5.973),,1.245,2.126,789.0,Empresas,(81),5.979,167.0,,,,,
,947.0,,(1.661),,714.0,,947.0,Rural,,,,,,,,
,356.904,,(949.019),,513.742,409.564,356.904,Total,(28.423),494.595,21.765,,,,,
,,,,,,,,,,,,,,,,
,708.986,,,727.359,49.108,911.342,708.986,,,,,Cartão de crédito,,,(574.111),
,44.092,(15.735),,66.162,(22.100),64.632,44.092,,,,,Imobiliário,,,(7.787),
,208.043,(5.863),,147.864,(20.240),196.490,208.043,,,,,Pessoal,(5),278.0,(133.587),
,6.231,(167),,5.973,2.475,5.663,6.231,,,,,Empresas,,,8.849),
,1.628,,,1.661,514,3.803,1.628,,,,,Rural,,,,
,968.98,(21.765),,949.019,9.757,1.181.930,968.98,,,,,Total,,278.0,(724.334),
,,,,,,,,,,,,,,,,
,1.343.169,,,,774.751,1.543.809,1.343.169,,,,,,,,(574.111),Cartão de crédito
,133.732,,,,44.355,170.300,133.732,,,,,,,,(7.787),Imobiliário
,404.365,,,,140.297,411.075,404.365,,,,,,,,(133.587),Pessoal
,19.879,,,,12.274,23.304,19.879,,,,,,,,(8.849),Empresas
,13.697,,,,2.727,16.424,13.697,,,,,,,,,Rural
,1.914.842,,,,974.404,2.164.912,1.914.842,,,,,,,,(724.334),Total
