Estágio 1,Saldo inicial em 01/01/2024,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Contratos finalizados,Baixas para prejuízo,Originação (recebimento),Saldo final em 30/09/2024,Saldo final em 31/12/2023
Cartão de crédito,8.073.708,(883.240),,66.537,5.063,(2.828.629),,4.803.064,9.236.503,8.073.708
Imobiliário,7.931.469,(1.185.273),(756),740.259,,(940.556),,2.800.741,9.345.884,7.931.469
Pessoal,6.533.589,(474.589),(988),165.203,132,(1.839.343),,2.846.311,7.230.315,6.533.589
Empresas,3.829.413,(95.287),,22.663,,(7.624.828),,7.960.296,4.092.257,3.829.413
Rural,738.126,,,,,(538.842),,314.106,513.390,738.126
Total,27.106.305,(2.638.389),(1.744),994.662,5.195,(13.772.198),,18.724.518,30.418.349,27.106.305
Estágio 2,Saldo inicial em 01/01/2024,Transferência para estágio,Transferência para estágio 3,Transferência do estágio 1,Transferência do estágio 3,Contratos finalizados,Baixas para prejuízo,Originação (recebimento),Saldo final em 30/09/2024,Saldo final em 31/12/2023
Cartão de crédito,405.996,(66.537),(1.620.553),883.240,,(1.059.391),,1.786.735,329.490,405.996
Imobiliário,515.047,(740.259),(504.177),1.185.273,337.987,(60.921),,(12.871),720.079,515.047
Pessoal,317.462,(165.203),(326.134),474.589,55.272,(438.916),,485.919,402.989,317.462
Empresas,10.200,(22.663),(47.383),95.287,1.829,(4.141),,(2.816),30.313,10.200
Rural,3.441,,(3.463),,,,,21,,3.441
Total,1.252.146,(994.662),(2.501.710),2.638.389,395.088,(1.563.369),,2.256.988,1.482.870,1.252.146
Estágio 3,Saldo inicial em 01/01/2024,Transferência para estágio,Transferência para estágio 2,Transferência do estágio,Transferência do estágio 2,Contratos finalizados,Baixas para prejuízo,Originação / (recebimento),Saldo final em 30/09/2024,Saldo final em 31/12/2023
Cartão de crédito,981.573,(5.063),,,1.620.553,(399.678),(993.821),258,1.203.822,981.573
Imobiliário,137.052,,(337.987),756,504.177,(83.484),(17.869),,200.246,137.052
Pessoal,287.693,(132),(55.272),988,326.134,(123.352),(185.135),119.308,370.232,287.693
Empresas,16.141,,(1.829),,47.383,(1.887),(11.695),(21.207),26.906,16.141
Rural,3.391,,,,3.463,,,,3.463,3.391
Total,1.425.850,(5.195),(395.088),1.744,2.501.710,(608.401),1.211.911),95.960,1.804.669,1.425.850
Consolidado,,,,,Saldo inicial em 01/01/2024,Contratos finalizados,Baixas para prejuízo,Originação / (recebimento),Saldo final em 30/09/2024,Saldo final em
Cartão de crédito,,,,,9.461.277,,(993.821),6.590.057,10.769.815,31/12/2023 9.461.277
Imobiliário,,,,,8.583.568,(4.287.698) (1.084.961),(17.869),2.785.471,10.266.209,8.583.568
Pessoal,,,,,7.138.744,(2.401.611),(185.135),3.451.538,8.003.536,7.138.744
Empresas,,,,,3.855.754,(7.630.856),(11.695),7.936.273,4.149.476,3.855.754
Rural,,,,,744.958,(538.842),(3.391),314.127,516.852,744.958
,,,,,,,,,33.705.888,29.784.301
Total,,,,,29.784.301,(15.943.968),(1.211.911),21.077.466,,
