Estágio 1,Saldo inicial em 01/01/2024,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Constituiçãol (reversão),Saldo final em 30/09/2024,Saldo final em 31/12/2023,Estágio 2,Transferência para estágio,Transferência do estágio,Estágio 3,Transferência para 1,Transferência do estágio 1,Baixas para prejuízo,Consolidado
Cartão de crédito,408.412,(454.685),,14.317,602.0,437.392,406.038,408.412,,,,,,,,
Imobiliário,49.93,(110.687),(129),20.324,,97.889,57.327,49.93,,,,,,,,
Pessoal,106.635,(120.441),(278),4.943,,86.365,77.23,106.635,,,,,,,,
Empresas,12.859,(13.231),,157.0,,15.170,14.955,12.859,,,,,,,,
Rural,11.122,,,,,(854),10.268,11.122,,,,,,,,
Total,588.958,(699.044),(407),39.741,608.0,635.962,565.818,588.958,,,,,,,,
,,,,,,,,,,,,,,,,
,225.771,,(1.124.989),,,656.227,197.377,225.771,Cartão de crédito,(14.317),454.685,,,,,
,39.71,,(101.600),,25.51,(4.594),49.389,39.71,Imobiliário,(20.324),110.687,,,,,
,89.687,,(229.029),,7.955,141.530,125.641,89.687,Pessoal,(4.943),120.441,,,,,
,789.0,,(9.114),,189.0,1.847,6.785,789.0,Empresas,(157),13.231,,,,,
,947.0,,(1.661),,,714,,947.0,Rural,,,,,,,
,356.904,,(1.466.393),,33.654,795.724,379.192,356.904,Total,(39.741),699.044,,,,,
,,,,,,,,,,,,,,,,
,708.986,,,1.124.989,,101.396,940.948,708.986,,,,Cartão de crédito,(602),,(993.821),
,44.092,(25.510),,101.600,,(41.064),61.379,44.092,,,,Imobiliário,,129.0,(17.868),
,208.043,(7.955),,229.029,,24.137,268.391,208.043,,,,Pessoal,(6),278.0,(185.135),
,6.231,(189),,9. 114,,4.950,8.410,6.231,,,,Empresas,,,(11.696),
,1.628,,,1.661,,,3.328,1.628,,,,Rural,,,(3.391),
,968.98,(33.654),,1.466.393,,92.849,1.282.456,968.98,,,,Total,(608),407.0,(1.211.911),
,,,,,,,,,,,,,,,,
,1.343.169,,,,,1.195.015,1.544.363,1.343.169,,,,,,,(993.821),Cartão de crédito
,133.732,,,,,,168.095,133.732,,,,,,,(17.868),Imobiliário
,404.365,,,,,252.032,471.262,404.365,,,,,,,(185.135),Pessoal
,19.879,,,,,21.967,30.150,19.879,,,,,,,(11.696),Empresas
,13.697,,,,,3.290,13.596,13.697,,,,,,,(3.391),Rural
,1.914.842,,,,,1.524.535,2.227.466,1.914.842,,,,,,,(1.211.911),Total
