Estágio 1,Saldo inicial em 01/01/2024,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Contratos finalizados,Baixas para prejuízo,Originação (recebimento),Saldo final em 31/12/2024
Cartão de crédito,8.073.708,(1.054.480),,87.965,5.099,(3.708.957),,6.927.321,10.330.639
Imobiliário,7.931.469,(1.668.387),(756),995.158,738,(1.315.562),,4.254.268,10.196.928
Pessoal,6.533.589,(565.236),(988),191.527,162,(2.608.266),,3.839.091,7.389.879
Empresas,3.829.413,(151.932),,30.545,,(9.906.660),,10.086.312,3.887.678
Rural,738.126,,,,,(784.809),,387.517,340.834
Total,27.106.305,(3.440.035),(1.761),1.305.195,5.999,(18.324.254),,25.494.509,32.145.958
Estágio 2,Saldo inicial em 01/01/2024,Transferência para estágio,Transferência para estágio 3,Transferência do estágio,Transferência do estágio 3,Contratos finalizados,Baixas para prejuízo,Originação (recebimento),Saldo final em 31/12/2024
Cartão de crédito,405.996,(87.965),(2.074.372),1.054.480,,(1.335.185),,2.318.549,281.503
Imobiliário,515.047,(995.158),(721.566),1.668.387,476.245,(92.913),,(14.911),835.131
Pessoal,317.462,(191.527),(447.409),565.236,83.657,(554.117),,484.514,257.816
Empresas,10.200,(30.545),(78.128),151.932,3.787,(8.528),,(4.628),44.090
Rural,3.441,,3.463),,,,,22,
Total,1.252.146,(1.305.195),(3.324.938),3.440.035,563.689,(1.990.743),,2.783.546,1.418.540
Estágio 3,Saldo inicial em 01/01/2024,Transferência para estágio,Transferência para estágio 2,Transferência do estágio,Transferência do estágio 2,Contratos finalizados,Baixas para prejuízo,Originação (recebimento),Saldo final em 31/12/2024
Cartão de crédito,981.573,(5.099),,17,2.074.372,(546.766),(1.317.366),1.017,1.187.748
Imobiliário,137.052,(738),(476.245),756,721.566,(136.123),(22.505),(5.635),218.128
Pessoal,287.693,(162),(83.657),988,447.409,(191.843),(244.125),372.793,589.096
Empresas,16.141,,(3.787),,78.128,(1.911),(16.704),,36.823
Rural,3.391,,,,3.463,,(6.854),,
Total,1.425.850,(5.999),(563.689),1.761,3.324.938,(876.643),(1.607.554),333.131,2.031.795
Consolidado,Consolidado,Consolidado,Consolidado,Consolidado,Saldo inicial em 01/01/2024,Contratos finalizados,Baixas para prejuízo,Originação (recebimento),Saldo final em 31/12/2024
Cartão de crédito,Cartão de crédito,Cartão de crédito,Cartão de crédito,Cartão de crédito,9.461.277,(5.590.908),(1.317.366),9.246.887,11.799.890
Imobiliário,Imobiliário,Imobiliário,Imobiliário,Imobiliário,8.583.568,(1.544.598),(22.505),4.233.722,11.250.187
Pessoal,Pessoal,Pessoal,Pessoal,Pessoal,7.138.744,(3.354.226),(244.125),4.696.398,8.236.791
Empresas,Empresas,Empresas,Empresas,Empresas,3.855.754,(9.917.099),704) (16.,10.046.640,3.968.591
Rural,Rural,Rural,Rural,Rural,744.958,(784.809),(6.854),387.539,340.834
Total,Total,Total,Total,Total,29.784.301,(21.191.640),(1.607.554),28.611.186,35.596.293
