Estágio 1,Saldo inicial em 01/01/2023,Transferência para estágio 2,Transferência para estágio 3,Transferência do estágio 2,Transferência do estágio 3,Constituiçãol (reversão),Saldo final em 31/12/2023,Estágio 2,Transferência para estágio,Transferência do estágio,Estágio 3,Transferência do estágio -,Baixas para prejuízo,Consolidado
Cartão de crédito,296.909,(359.988),(52),26.254,53.0,445.236,408.412,,,,,,,
Imobiliário,66.484,(95.396),(50),30.638,7.554,40.7,49.93,,,,,,,
Pessoal,98.516,(72.948),(13),31.534,866.0,48.68,106.635,,,,,,,
Empresas,12.099,(2.921),,141.0,,3.54,12.859,,,,,,,
Rural,11.606,(2.113),,,,1.629,11.122,,,,,,,
Total,485.614,(533.366),(115),88.567,8.473,539.785,588.958,,,,,,,
,,,,,,,,,,,,,,
,,,(1.032.014),,,749.585,225.771,Cartão de crédito,,359.988,,,,
,16.939,,(83.197),,21.03,20.18,39.71,Imobiliário,(30.638),95.396,,,,
,90.088,,(212.221),,5.329,165.077,89.687,Pessoal,(31.534),72.948,,,,
,899.0,,(4.492),,44.0,1.558,789.0,Empresas,(141),2.921,,,,
,,,(1.626),,,460.0,947.0,Rural,,2.113,,,,
,282.392,,(1.333.550),,26.403,936.86,356.904,Total,(88.567),533.366,,,,
,,,,,,,,,,,,,,
,402.826,,,1.032.014,,165.778,708.986,,(53),,Cartão de crédito,52.0,(891.631),
,19.127,(21.030),,83.197,,(4.487),44.092,,(7.554),,Imobiliário,50.0,(25.211),
,127.149,(5.329),,,,75.376,208.043,,(866),,Pessoal,13.0,(200.521),
,328.0,(44),,4.492,,4.628,6.231,,,,Empresas,,(3.173),
,976.0,,,1.626,,580,1.628,,,,Rural,,(1.554),
,550.406,(26.403),,,,241.875,968.98,,(8.473),,Total,115.0,(1.122.090),
,,,,,,,,,,,,,,
,874.201,,,,,,1.343.169,,,,,,(891.631),Cartão de crédito
,102.550,,,,,56.393,133.732,,,,,,(25.211),Imobiliário
,315.753,,,,,289.133,404.365,,,,,,(200.521),Empresas
,13.326,,,,,9.726,19.879,,,,,,(3.173),Pessoal
,12.582,,,,,2.669,13.697,,,,,,(1.554),Rural
,1.318.412,,,,,1.718.520,1.914.842,,,,,,(1.122.090),Total
